Expert_ID,theme,from,to
Expert_002,Tema 3,Pesquerias,Productividad
Expert_002,Tema 3,Pesquerias,Servicios ecosistemicos
Expert_002,Tema 3,Pesquerias,Valor cultural
Expert_002,Tema 3,Productividad,Servicios ecosistemicos
Expert_002,Tema 3,Productividad,Valor cultural
Expert_002,Tema 3,Servicios ecosistemicos,Valor cultural
Expert_002,x,NA,NA
Expert_003,No,NA,NA
Expert_003,No,NA,NA
Expert_003,No,NA,NA
Expert_003,Tema 1,Acoplamiento clima-océano,Amenazas humanas
Expert_003,Tema 1,Acoplamiento clima-océano,Ciclos biogeoquímicos
Expert_003,Tema 1,Acoplamiento clima-océano,Contaminación
Expert_003,Tema 1,Acoplamiento clima-océano,Especies clave
Expert_003,Tema 1,Acoplamiento clima-océano,Oceanografía física
Expert_003,Tema 1,Amenazas humanas,Ciclos biogeoquímicos
Expert_003,Tema 1,Amenazas humanas,Contaminación
Expert_003,Tema 1,Amenazas humanas,Especies clave
Expert_003,Tema 1,Amenazas humanas,Oceanografía física
Expert_003,Tema 1,Ciclos biogeoquímicos,Contaminación
Expert_003,Tema 1,Ciclos biogeoquímicos,Especies clave
Expert_003,Tema 1,Ciclos biogeoquímicos,Oceanografía física
Expert_003,Tema 1,Contaminación,Especies clave
Expert_003,Tema 1,Contaminación,Oceanografía física
Expert_003,Tema 1,Especies clave,Oceanografía física
Expert_003,Tema 2,Aspectos socio-económicos,Bienestar humano
Expert_003,Tema 2,Aspectos socio-económicos,Geografia
Expert_003,Tema 2,Aspectos socio-económicos,Impactos del cambio climático
Expert_003,Tema 2,Bienestar humano,Geografia
Expert_003,Tema 2,Bienestar humano,Impactos del cambio climático
Expert_003,Tema 2,Geografia,Impactos del cambio climático
Expert_003,Tema 3,Biodiversidad,Conciencia ambiental
Expert_003,Tema 3,Biodiversidad,Conservación
Expert_003,Tema 3,Biodiversidad,Ecología
Expert_003,Tema 3,Biodiversidad,Ecosistemas
Expert_003,Tema 3,Biodiversidad,Evolución
Expert_003,Tema 3,Biodiversidad,Pesquerias
Expert_003,Tema 3,Biodiversidad,Productividad
Expert_003,Tema 3,Biodiversidad,Regulación de la biodiversidad global
Expert_003,Tema 3,Biodiversidad,Resiliencia
Expert_003,Tema 3,Conciencia ambiental,Conservación
Expert_003,Tema 3,Conciencia ambiental,Ecología
Expert_003,Tema 3,Conciencia ambiental,Ecosistemas
Expert_003,Tema 3,Conciencia ambiental,Evolución
Expert_003,Tema 3,Conciencia ambiental,Pesquerias
Expert_003,Tema 3,Conciencia ambiental,Productividad
Expert_003,Tema 3,Conciencia ambiental,Regulación de la biodiversidad global
Expert_003,Tema 3,Conciencia ambiental,Resiliencia
Expert_003,Tema 3,Conservación,Ecología
Expert_003,Tema 3,Conservación,Ecosistemas
Expert_003,Tema 3,Conservación,Evolución
Expert_003,Tema 3,Conservación,Pesquerias
Expert_003,Tema 3,Conservación,Productividad
Expert_003,Tema 3,Conservación,Regulación de la biodiversidad global
Expert_003,Tema 3,Conservación,Resiliencia
Expert_003,Tema 3,Ecología,Ecosistemas
Expert_003,Tema 3,Ecología,Evolución
Expert_003,Tema 3,Ecología,Pesquerias
Expert_003,Tema 3,Ecología,Productividad
Expert_003,Tema 3,Ecología,Regulación de la biodiversidad global
Expert_003,Tema 3,Ecología,Resiliencia
Expert_003,Tema 3,Ecosistemas,Evolución
