"category","height","n_clusters"
"mares",0,20
"mares",0.00585782442630263,20
"mares",0.0117156488526053,20
"mares",0.0175734732789079,19
"mares",0.0234312977052105,19
"mares",0.0292891221315132,18
"mares",0.0351469465578158,17
"mares",0.0410047709841184,16
"mares",0.0468625954104211,15
"mares",0.0527204198367237,15
"mares",0.0585782442630263,15
"mares",0.064436068689329,15
"mares",0.0702938931156316,15
"mares",0.0761517175419342,14
"mares",0.0820095419682369,13
"mares",0.0878673663945395,13
"mares",0.0937251908208421,10
"mares",0.0995830152471447,10
"mares",0.105440839673447,10
"mares",0.11129866409975,10
"mares",0.117156488526053,10
"mares",0.123014312952355,10
"mares",0.128872137378658,9
"mares",0.134729961804961,8
"mares",0.140587786231263,8
"mares",0.146445610657566,8
"mares",0.152303435083868,7
"mares",0.158161259510171,7
"mares",0.164019083936474,6
"mares",0.169876908362776,6
"mares",0.175734732789079,6
"mares",0.181592557215382,6
"mares",0.187450381641684,6
"mares",0.193308206067987,6
"mares",0.19916603049429,6
"mares",0.205023854920592,6
"mares",0.210881679346895,6
"mares",0.216739503773197,6
"mares",0.2225973281995,6
"mares",0.228455152625803,6
"mares",0.234312977052105,5
"mares",0.240170801478408,5
"mares",0.246028625904711,5
"mares",0.251886450331013,5
"mares",0.257744274757316,5
"mares",0.263602099183618,5
"mares",0.269459923609921,5
"mares",0.275317748036224,5
"mares",0.281175572462526,5
"mares",0.287033396888829,4
"mares",0.292891221315132,4
"mares",0.298749045741434,4
"mares",0.304606870167737,4
"mares",0.31046469459404,4
"mares",0.316322519020342,4
"mares",0.322180343446645,4
"mares",0.328038167872947,4
"mares",0.33389599229925,4
"mares",0.339753816725553,4
"mares",0.345611641151855,4
"mares",0.351469465578158,4
"mares",0.357327290004461,3
"mares",0.363185114430763,3
"mares",0.369042938857066,3
"mares",0.374900763283368,3
"mares",0.380758587709671,3
"mares",0.386616412135974,3
"mares",0.392474236562276,3
"mares",0.398332060988579,3
"mares",0.404189885414882,3
"mares",0.410047709841184,3
"mares",0.415905534267487,3
"mares",0.42176335869379,3
"mares",0.427621183120092,3
"mares",0.433479007546395,3
"mares",0.439336831972697,3
"mares",0.445194656399,3
"mares",0.451052480825303,3
"mares",0.456910305251605,3
"mares",0.462768129677908,3
"mares",0.468625954104211,2
"mares",0.474483778530513,2
"mares",0.480341602956816,2
"mares",0.486199427383118,2
"mares",0.492057251809421,2
"mares",0.497915076235724,2
"mares",0.503772900662026,2
"mares",0.509630725088329,2
"mares",0.515488549514632,2
"mares",0.521346373940934,2
"mares",0.527204198367237,2
"mares",0.53306202279354,2
"mares",0.538919847219842,2
"mares",0.544777671646145,2
"mares",0.550635496072447,2
"mares",0.55649332049875,2
"mares",0.562351144925053,2
"mares",0.568208969351355,2
"mares",0.574066793777658,2
"mares",0.579924618203961,1
"biodiversidad",0,24
"biodiversidad",0.00843115393972416,22
"biodiversidad",0.0168623078794483,21
"biodiversidad",0.0252934618191725,20
"biodiversidad",0.0337246157588966,19
"biodiversidad",0.0421557696986208,17
"biodiversidad",0.050586923638345,15
"biodiversidad",0.0590180775780691,14
"biodiversidad",0.0674492315177933,14
"biodiversidad",0.0758803854575174,14
"biodiversidad",0.0843115393972416,12
